OKZ;OKZU;BEZEICHNUNG1;BEZEICHNUNG2;BEZEICHNUNG3;POSTADRESSE_STRAﬂE;POSTADRESS_HAUSNUMMER;POSTADRESSE_POSTFACH;POSTADRESSE_PLZ;POSTADRESSE_ORT;POSTADRESSE_BUNDESLAND;POSTADRESSE_LAND;POSTADRESSE_LƒNDERCODE;POSTADRESSE_ADRESSZEILE1;POSTADRESSE_ADRESSZEILE2;POSTADRESSE_ADRESSZEILE3;POSTADRESSE_ADRESSCODE;BESUCHSADRESSE_STRAﬂE;BESUCHSADRESSE_HAUSNUMMER;BESUCHSADRESSE_POSTFACH;BESUCHSADRESSE_PLZ;BESUCHSADRESSE_ORT;BESUCHSADRESSE_BUNDESLAND;BESUCHSADRESSE_LAND;BESUCHSADRESSE_LƒNDERCODE;BESUCHSADRESSE_ADRESSZEILE1;BESUCHSADRESSE_ADRESSZEILE2;BESUCHSADRESSE_ADRESSZEILE3;BESUCHSADRESSE_ADRESSCODE;TELEFONNUMMER;FAX;MAIL;HOMEPAGE;AMTSSTUNDEN;PARTEIENVERKEHR;ERSB_NR;DATENHERKUNFT;ERSTELLUNGSDATUM
L9;L9-B01;Bezirksvorstehung des  1. Wiener Gemeindebezirkes;Bezirksvorsteher;;Wipplingerstraﬂe;6-8;;1010;Wien;Wien;÷sterreich;AUT;Wipplingerstraﬂe 6-8;1010 Wien; ;10052997; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 01111;+43 1 4000 9901120;post@bv01.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B02;Bezirksvorstehung des  2. Wiener Gemeindebezirkes;Bezirksvorsteher;;Karmelitergasse;9;;1020;Wien;Wien;÷sterreich;AUT;Karmelitergasse 9;1020 Wien; ;10054993; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 02114;+43 1 4000 9902120;post@bv02.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B03;Bezirksvorstehung des  3. Wiener Gemeindebezirkes;Bezirksvorsteher;;Karl-Borrom‰us-Platz;3;;1030;Wien;Wien;÷sterreich;AUT;Karl-Borrom‰us-Platz 3;1030 Wien; ;10061107; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 03110;+43 1 4000 9903120;post@bv03.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B04;Bezirksvorstehung des  4. Wiener Gemeindebezirkes;Bezirksvorsteherin;;Favoritenstraﬂe;18;;1040;Wien;Wien;÷sterreich;AUT;Favoritenstraﬂe 18;1040 Wien; ;10064546; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 04114;+43 1 4000 9904120;post@bv04.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B05;Bezirksvorstehung des  5. Wiener Gemeindebezirkes;Bezirksvorsteherin;;Schˆnbrunner Straﬂe;54;;1050;Wien;Wien;÷sterreich;AUT;Schˆnbrunner Straﬂe 54;1050 Wien; ;10065604; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 05111;+43 1 4000 9905120;post@bv05.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B06;Bezirksvorstehung des  6. Wiener Gemeindebezirkes;Bezirksvorsteher;;Amerlingstraﬂe;11;;1060;Wien;Wien;÷sterreich;AUT;Amerlingstraﬂe 11;1060 Wien; ;10068959; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 06110;+43 1 4000 9906120;post@bv06.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B07;Bezirksvorstehung des  7. Wiener Gemeindebezirkes;Bezirksvorsteher;;Hermanngasse;24-26;;1070;Wien;Wien;÷sterreich;AUT;Hermanngasse 24-26;1070 Wien; ;10070707; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 07114;+43 1 4000 9907120;post@bv07.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B08;Bezirksvorstehung des  8. Wiener Gemeindebezirkes;Bezirksvorsteher;;Schlesingerplatz;4;;1080;Wien;Wien;÷sterreich;AUT;Schlesingerplatz 4;1080 Wien; ;10072569; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 08110;+43 1 4000 9908120;post@bv08.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B09;Bezirksvorstehung des  9. Wiener Gemeindebezirkes;Bezirksvorsteherin;;W‰hringer Straﬂe;43;;1090;Wien;Wien;÷sterreich;AUT;W‰hringer Straﬂe 43;1090 Wien; ;10075743; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 09110;+43 1 4000 9909120;post@bv09.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B10;Bezirksvorstehung des 10. Wiener Gemeindebezirkes;Bezirksvorsteher;;Keplerplatz;5;;1100;Wien;Wien;÷sterreich;AUT;Keplerplatz 5;1100 Wien; ;10076081; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 10111;+43 1 4000 9910120;post@bv10.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B11;Bezirksvorstehung des 11. Wiener Gemeindebezirkes;Bezirksvorsteher;;Enkplatz;2;;1110;Wien;Wien;÷sterreich;AUT;Enkplatz 2;1110 Wien; ;10088249; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 11111;+43 1 4000 9911120;post@bv11.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
L9;L9-B21;Bezirksvorstehung des 12. Wiener Gemeindebezirkes;Bezirksvorsteher;;Schˆnbrunner Straﬂe;259; ;1120;Wien;Wien;÷sterreich;AUT;Schˆnbrunner Straﬂe 259;1120 Wien; ;10095450; ; ; ; ; ; ; ; ; ; ; ; ;+43 1 4000 12111;+43 1 4000 9912120;post@bv12.wien.gv.at;; ;; ;L9;2022-07-06 14:17:43
