OBJECTID,CODI_ENS,NOM_ENS,CODICARRER,CARRER,NUMINICIAL,SUFIXINICIAL,NUMFINAL,SUFIXFINAL,NUMERO,X,Y,LAT,LON,EXTRACCIO,CODITRAM
1,08200,SANT BOI DE LLOBREGAT,2320,C ROSSELLÓ,60, ,0, ,60,418908.8705,4577846.2702,41.34803207,2.03068414,2022/08/01 05:45:10+00,179
2,08200,SANT BOI DE LLOBREGAT,2350,C RUTLLA,30, ,0, ,30,419651.1737,4577650.8061,41.34634602,2.03958186,2022/08/01 05:45:12+00,1777
3,08200,SANT BOI DE LLOBREGAT,2530,C VENTURA GASSOL,7,B,0, ,7B,418992.8342,4578821.9264,41.35682766,2.03155742,2022/08/01 05:45:12+00,1743
4,08200,SANT BOI DE LLOBREGAT,2280,C RIERA ROJA,33, ,0, ,33,420238.1098,4575560.3498,41.32757673,2.04687117,2022/08/01 05:45:12+00,501
5,08200,SANT BOI DE LLOBREGAT,0932,C JORDI RUBIÓ I BALAGUER,4, ,0, ,4,418834.1136,4577637.8745,41.34614764,2.02981852,2022/08/01 05:45:13+00,1087
6,08200,SANT BOI DE LLOBREGAT,0800,C HOSPITAL,9, ,0, ,9,420165.1583,4577750.122,41.3472916,2.0457117,2022/08/01 05:45:13+00,1896
7,08200,SANT BOI DE LLOBREGAT,0550,C DÍDAC PRIU,67, ,0, ,67,419928.6217,4576735.5514,41.33813045,2.04301848,2022/08/01 05:45:13+00,1734
8,08200,SANT BOI DE LLOBREGAT,0150,AV MARIA GIRONA,24, ,0, ,24,420162.0291,4577806.2238,41.34779657,2.04566692,2022/08/01 05:45:13+00,744
9,08200,SANT BOI DE LLOBREGAT,1400,C FREIXES,18, ,0, ,18,418289.9822,4578214.0979,41.35128232,2.02323782,2022/08/01 05:45:13+00,9
10,08200,SANT BOI DE LLOBREGAT,2400,C SANT JOAN BOSCO,28, ,0, ,28,420041.4841,4577078.04,41.34122627,2.04432209,2022/08/01 05:45:13+00,726
11,08200,SANT BOI DE LLOBREGAT,0070,C AMADEU VIVES,35, ,0, ,35,419573.3026,4577165.5721,41.34196802,2.03871547,2022/08/01 05:45:13+00,701
12,08200,SANT BOI DE LLOBREGAT,1520,C SALZES,29, ,0, ,29,418113.5673,4577955.5362,41.3489357,2.02116413,2022/08/01 05:45:13+00,1315
13,08200,SANT BOI DE LLOBREGAT,0240,C BALDIRI COMAS,51, ,0, ,51,419647.2217,4577374.0834,41.34385334,2.03957126,2022/08/01 05:45:13+00,837
14,08200,SANT BOI DE LLOBREGAT,1540,C LILÀS,79, ,0, ,79,418056.3671,4577814.102,41.34765608,2.02049957,2022/08/01 05:45:13+00,145
15,08200,SANT BOI DE LLOBREGAT,2330,C ANTONI RUBIÓ I LLUCH,14, ,0, ,14,418377.4238,4577822.0653,41.34776039,2.02433567,2022/08/01 05:45:13+00,544
16,08200,SANT BOI DE LLOBREGAT,2220,C BENVIURE,22,B,0, ,22B,418537.7353,4577542.3339,41.34525725,2.0262892,2022/08/01 05:45:13+00,1916
17,08200,SANT BOI DE LLOBREGAT,0420,C NOU,53, ,55, ,53-55,419724.4656,4577678.0382,41.34659859,2.04045421,2022/08/01 05:45:13+00,348
